0.0407701	2.68269	0	0	0.0407701	2.68269	0	2.75	0	1
-0.122377	3.14354	-0.405482	1.14537	-0.1224	3.1436	-0.022	3.0991	-0.1097	0.994
-0.0511209	3.39871	0.147345	1.10078	-0.0569226	3.16139	-0.0938	3.4924	-0.2334	0.9724
-0.105569	3.96328	-0.187263	1.42592	-0.1201	3.9856	-0.2143	3.8735	-0.3535	0.9354
-0.534708	4.45349	-1.12039	0.987132	-0.570016	4.52524	-0.3817	4.2365	-0.4679	0.8838
-0.741693	4.53571	-0.449344	0.0989445	-0.7143	4.4755	-0.5932	4.5757	-0.575	0.8181
-0.665162	4.71497	0.209578	0.594791	-0.629014	4.68002	-0.8456	4.8857	-0.673	0.7396
-1.03411	5.10477	-1.04255	1.03779	-1.0868	5.1411	-1.1348	5.1616	-0.7604	0.6494
-1.23884	5.52602	-0.476762	1.05759	-1.20853	5.50767	-1.4564	5.3991	-0.8358	0.549
-1.72522	5.5341	-1.19323	-0.080728	-1.7436	5.4664	-1.8051	5.5945	-0.898	0.4399
-1.99254	5.71419	-0.595312	0.400549	-1.97967	5.81178	-2.1756	5.7445	-0.9461	0.3239
-2.37281	5.75715	-0.942928	0.0953308	-2.3834	5.7423	-2.562	5.847	-0.9792	0.2028
-2.94941	5.8399	-1.53135	0.328475	-2.967	5.81063	-2.9582	5.9002	-0.9969	0.0785
-3.27054	6.11614	-0.823519	0.676169	-3.2462	6.1278	-3.3579	5.9033	-0.9989	-0.0471
-3.45499	5.84788	-0.296066	-1.01475	-3.43786	5.78358	-3.7549	5.8563	-0.9851	-0.1719
-4.11009	5.86498	-1.70864	0.251427	-4.1867	5.9601	-4.1429	5.76	-0.9558	-0.294
-4.38728	5.95873	-0.363235	-0.0787541	-4.40393	6.07062	-4.5157	5.6157	-0.9114	-0.4115
-5.01192	5.64445	-1.48686	-0.671791	-5.0535	5.6336	-4.8675	5.4259	-0.8526	-0.5225
-5.28238	5.76106	-0.720151	0.466116	-5.13727	5.7857	-5.1927	5.1935	-0.7804	-0.6252
-5.58344	5.19427	-0.516587	-1.39317	-5.5402	5.1035	-5.4863	4.9222	-0.6959	-0.7181
-5.80109	4.58788	-0.614691	-1.47072	-5.7639	4.5486	-5.7435	4.6162	-0.6004	-0.7997
-5.92964	4.11312	-0.332818	-1.22052	-5.9185	4.1194	-5.9603	4.2804	-0.4955	-0.8686
-6.02446	4.11873	-0.313607	0.157527	-5.98114	4.21687	-6.1333	3.92	-0.3827	-0.9239
-6.13414	3.82181	-0.191419	-0.717759	-6.1143	3.7844	-6.2599	3.5408	-0.2639	-0.9646
-6.26508	3.42049	-0.319133	-1.03523	-6.28253	3.40117	-6.3378	3.1487	-0.1409	-0.99
-6.5368	2.78648	-0.664495	-1.53934	-6.5499	2.7712	-6.3661	2.75	-0.0157	-0.9999
-6.56251	2.44633	-0.294011	-0.712148	-6.34167	2.43197	-6.3441	2.3509	0.1097	-0.994
-6.16836	1.66511	1.21201	-1.90869	-6.061	1.61	-6.2723	1.9576	0.2334	-0.9724
-6.16515	1.43219	0.146518	-0.517963	-6.44761	1.60926	-6.1518	1.5765	0.3535	-0.9355
-5.71169	1.24546	1.27102	-0.450763	-5.6372	1.2438	-5.9844	1.2135	0.4679	-0.8838
